productId,productName,price
1,Apple iPhone 15,999.99
2,Samsung Galaxy S23,899.99
3,Google Pixel 8,799.99
4,MacBook Pro 14-inch,1999.99
5,Dell XPS 13,1299.99
6,Smartwatch Series 8,349.99
7,LG OLED TV 55",1499.99
8,Canon EOS 90D,1199.99
9,Sony WH-1000XM5 Headphones,349.99
10,Microsoft Surface Laptop 5,1699.99
11,Apple AirPods Pro 2,249.99
12,GoPro Hero 11,499.99
13,Nintendo Switch OLED,349.99
14,Xbox Series X,499.99
15,PlayStation 5,499.99
16,Bose SoundLink Revolve+,299.99
17,Amazon Echo Dot 5th Gen,39.99
18,Fitbit Charge 5,149.99
19,HP Spectre x360,1599.99
20,Lenovo ThinkPad X1 Carbon,1799.99
